Area,Price_RM,Size_SQFT,Bedrooms,Bathrooms,Property_Type,Source
Other,420000,1540.0,3.0,2.0,Terrace House,Kaggle
Other,450000,1155.0,3.0,2.0,Condominium,Kaggle
Other,490000,1100.0,3.0,2.0,Condominium,Kaggle
Other,468000,1068.0,5.0,2.0,Condominium,Kaggle
Other,335000,770.0,2.0,2.0,Low-Cost House,Kaggle
Other,345000,1400.0,3.0,2.0,Terrace House,Kaggle
Other,398000,774.0,3.0,2.0,Low-Cost House,Kaggle
Other,800000,1001.0,2.0,2.0,Condominium,Kaggle
Other,638000,1170.0,4.0,3.0,Terrace House,Kaggle
Other,570000,2100.0,4.0,3.0,Terrace House,Kaggle
Other,388000,1620.0,4.0,2.0,Terrace House,Kaggle
Other,658000,1540.0,4.0,3.0,Terrace House,Kaggle
Other,848000,2400.0,4.0,2.0,Terrace House,Kaggle
Other,758000,2000.0,4.0,3.0,Terrace House,Kaggle
Pasir Gudang,690000,1400.0,3.0,3.0,Terrace House,Kaggle
Johor Bahru,768000,1960.0,4.0,3.0,Terrace House,Kaggle
Other,358000,840.0,3.0,2.0,Low-Cost House,Kaggle
Other,608000,1540.0,4.0,4.0,Terrace House,Kaggle
Other,350000,1760.0,3.0,2.0,Terrace House,Kaggle
Other,465000,1936.0,4.0,3.0,Terrace House,Kaggle
Mount Austin,750000,1400.0,4.0,3.0,Terrace House,Kaggle
Bukit Indah,750000,1615.0,4.0,4.0,Condominium,Kaggle
Other,350000,1540.0,3.0,2.0,Terrace House,Kaggle
Other,470000,1540.0,3.0,2.0,Terrace House,Kaggle
Other,880000,3400.0,6.0,6.0,Terrace House,Kaggle
Other,1150000,4300.0,4.0,5.0,Terrace House,Kaggle
Other,683000,1300.0,4.0,3.0,Terrace House,Kaggle
Other,1242500,4214.0,5.0,4.0,Bungalow / Detached House,Kaggle
Other,730000,2210.0,4.0,3.0,Cluster House,Kaggle
Other,520000,1460.0,3.0,2.0,Terrace House,Kaggle
Other,830000,1800.0,4.0,4.0,Terrace House,Kaggle
Other,380000,1000.0,3.0,3.0,Terrace House,Kaggle
Other,2550000,3200.0,5.0,6.0,Link Bungalow / Semi-Detached,Kaggle
Taman Molek,1850000,1920.0,4.0,5.0,Terrace House,Kaggle
Other,480000,646.0,2.0,1.0,Condominium,Kaggle
Other,800000,1001.0,2.0,2.0,Condominium,Kaggle
Other,730000,1680.0,4.0,3.0,Terrace House,Kaggle
Other,790000,1507.0,4.0,3.0,Terrace House,Kaggle
Iskandar Puteri,2200000,2800.0,4.0,6.0,Link Bungalow / Semi-Detached,Kaggle
Other,638000,2450.0,3.0,2.0,Link Bungalow / Semi-Detached,Kaggle
Other,480000,1400.0,3.0,2.0,Terrace House,Kaggle
Pasir Gudang,568000,1400.0,4.0,3.0,Terrace House,Kaggle
Johor Bahru,768000,1439.0,4.0,3.0,Terrace House,Kaggle
Skudai,650000,1540.0,3.0,1.0,Terrace House,Kaggle
Other,890000,1540.0,5.0,3.0,Terrace House,Kaggle
Mount Austin,680000,1317.0,4.0,3.0,Condominium,Kaggle
Other,1100000,1540.0,4.0,4.0,Terrace House,Kaggle
Other,600000,816.0,2.0,2.0,Condominium,Kaggle
Permas Jaya,365000,770.0,3.0,2.0,Terrace House,Kaggle
Other,1900000,3541.0,5.0,5.0,Link Bungalow / Semi-Detached,Kaggle
Other,2850000,4500.0,5.0,6.0,Link Bungalow / Semi-Detached,Kaggle
Johor Jaya,618000,1540.0,4.0,3.0,Terrace House,Kaggle
Johor Jaya,1100000,3200.0,4.0,3.0,Link Bungalow / Semi-Detached,Kaggle
Other,450000,809.0,3.0,2.0,Terrace House,Kaggle
Other,328000,1216.0,4.0,3.0,Condominium,Kaggle
Other,858000,1680.0,7.0,4.0,Terrace House,Kaggle
Permas Jaya,890000,1300.0,4.0,3.0,Terrace House,Kaggle
Other,640000,1540.0,4.0,3.0,Terrace House,Kaggle
Other,1250000,2600.0,5.0,5.0,Cluster House,Kaggle
Other,1250000,2608.0,6.0,5.0,Cluster House,Kaggle
Other,2800000,3137.0,5.0,6.0,Link Bungalow / Semi-Detached,Kaggle
Bukit Indah,600000,1400.0,3.0,2.0,Terrace House,Kaggle
Other,1430000,3080.0,5.0,5.0,Link Bungalow / Semi-Detached,Kaggle
Other,1300000,2384.0,4.0,4.0,Link Bungalow / Semi-Detached,Kaggle
Other,1300000,2384.0,4.0,4.0,Cluster House,Kaggle
Other,1300000,1650.0,5.0,5.0,Cluster House,Kaggle
Bukit Indah,1180000,1540.0,5.0,4.0,Terrace House,Kaggle
Other,899000,1680.0,4.0,4.0,Terrace House,Kaggle
Other,850000,1680.0,4.0,4.0,Terrace House,Kaggle
Other,480000,967.0,2.0,2.0,Condominium,Kaggle
Other,778000,872.0,1.0,2.0,Condominium,Kaggle
Other,1400000,2329.0,4.0,4.0,Terrace House,Kaggle
Kulai,810000,1950.0,4.0,4.0,Terrace House,Kaggle
Skudai,1120000,2380.0,5.0,5.0,Cluster House,Kaggle
Johor Bahru,975000,2975.0,5.0,4.0,Link Bungalow / Semi-Detached,Kaggle
Johor Jaya,568000,1760.0,4.0,2.0,Terrace House,Kaggle
Pasir Gudang,428000,1400.0,3.0,2.0,Terrace House,Kaggle
Other,788000,3337.0,4.0,3.0,Link Bungalow / Semi-Detached,Kaggle
Johor Bahru,588000,1668.0,3.0,2.0,Terrace House,Kaggle
Other,650000,1540.0,4.0,3.0,Terrace House,Kaggle
Permas Jaya,388000,700.0,3.0,2.0,Low-Cost House,Kaggle
Other,760000,2240.0,4.0,3.0,Cluster House,Kaggle
Iskandar Puteri,1850000,3000.0,5.0,5.0,Link Bungalow / Semi-Detached,Kaggle
Other,558000,1800.0,3.0,3.0,Terrace House,Kaggle
Other,1050000,2440.0,5.0,4.0,Terrace House,Kaggle
Permas Jaya,560000,1635.0,3.0,2.0,Condominium,Kaggle
Other,488000,1540.0,4.0,3.0,Terrace House,Kaggle
Other,3300000,6000.0,5.0,4.0,Link Bungalow / Semi-Detached,Kaggle
Other,948000,2550.0,5.0,5.0,Terrace House,Kaggle
Bukit Indah,980000,2470.0,4.0,4.0,Terrace House,Kaggle
Other,350000,1013.0,3.0,2.0,Condominium,Kaggle
Other,980000,2080.0,5.0,5.0,Cluster House,Kaggle
Other,1800000,2080.0,4.0,4.0,Cluster House,Kaggle
Johor Jaya,950000,3200.0,4.0,3.0,Terrace House,Kaggle
Johor Bahru,1450000,3200.0,5.0,5.0,Link Bungalow / Semi-Detached,Kaggle
Other,700000,1540.0,4.0,3.0,Terrace House,Kaggle
Other,320000,990.0,4.0,2.0,Condominium,Kaggle
Iskandar Puteri,4500000,6305.0,6.0,7.0,Bungalow / Detached House,Kaggle
Other,1150000,2720.0,4.0,4.0,Link Bungalow / Semi-Detached,Kaggle
Other,4900000,4900.0,7.0,6.0,Bungalow / Detached House,Kaggle
Other,300000,1540.0,4.0,2.0,Terrace House,Kaggle
Kulai,4200000,1540.0,13.0,7.0,Bungalow / Detached House,Kaggle
Other,1700000,2140.0,5.0,5.0,Cluster House,Kaggle
Other,3700000,2303.0,5.0,5.0,Condominium,Kaggle
Pontian,850000,2600.0,4.0,3.0,Link Bungalow / Semi-Detached,Kaggle
Other,1000000,1680.0,4.0,3.0,Link Bungalow / Semi-Detached,Kaggle
Other,480000,1340.0,3.0,2.0,Terrace House,Kaggle
Other,470000,1540.0,4.0,3.0,Terrace House,Kaggle
Permas Jaya,380000,830.0,2.0,2.0,Condominium,Kaggle
Segamat,465000,1540.0,4.0,3.0,Terrace House,Kaggle
Other,300000,1001.0,3.0,2.0,Condominium,Kaggle
Other,680000,1680.0,5.0,3.0,Terrace House,Kaggle
Other,2580000,3190.0,5.0,4.0,Link Bungalow / Semi-Detached,Kaggle
Johor Bahru,470000,900.0,3.0,2.0,Condominium,Kaggle
Other,1150000,1540.0,4.0,4.0,Cluster House,Kaggle
Other,3780000,1540.0,4.0,3.0,Link Bungalow / Semi-Detached,Kaggle
Johor Bahru,545000,1400.0,3.0,2.0,Terrace House,Kaggle
Other,580000,1400.0,3.0,2.0,Terrace House,Kaggle
Other,858000,1680.0,7.0,4.0,Terrace House,Kaggle
Johor Bahru,818000,1760.0,4.0,3.0,Terrace House,Kaggle
Johor Bahru,820000,1650.0,4.0,3.0,Terrace House,Kaggle
Other,580000,1210.0,4.0,3.0,Terrace House,Kaggle
Other,698000,1440.0,4.0,3.0,Terrace House,Kaggle
Other,498000,1760.0,4.0,3.0,Terrace House,Kaggle
Other,450000,1068.0,3.0,2.0,Condominium,Kaggle
Mount Austin,450000,1033.0,3.0,2.0,Condominium,Kaggle
Taman Molek,908000,2240.0,5.0,3.0,Terrace House,Kaggle
Mount Austin,500000,1033.0,3.0,2.0,Condominium,Kaggle
Other,580000,1540.0,4.0,2.0,Terrace House,Kaggle
Other,698000,1400.0,4.0,3.0,Terrace House,Kaggle
Other,540000,1320.0,4.0,3.0,Terrace House,Kaggle
Other,335000,770.0,3.0,2.0,Terrace House,Kaggle
Other,395000,906.0,2.0,2.0,Condominium,Kaggle
Johor Bahru,420000,1098.0,3.0,2.0,Condominium,Kaggle
Other,1080000,2300.0,4.0,4.0,Cluster House,Kaggle
Bukit Indah,888000,1540.0,4.0,4.0,Terrace House,Kaggle
Johor Bahru,1900000,8632.0,5.0,5.0,Bungalow / Detached House,Kaggle
Other,950000,3780.0,5.0,4.0,Link Bungalow / Semi-Detached,Kaggle
Other,350000,770.0,3.0,2.0,Terrace House,Kaggle
Other,320000,728.0,3.0,2.0,Terrace House,Kaggle
Mount Austin,350000,765.0,2.0,2.0,Condominium,Kaggle
Johor Bahru,938000,2535.0,4.0,3.0,Link Bungalow / Semi-Detached,Kaggle
Other,498000,1540.0,3.0,1.0,Terrace House,Kaggle
Other,618000,1300.0,3.0,2.0,Terrace House,Kaggle
Other,610000,1400.0,4.0,3.0,Terrace House,Kaggle
Other,648000,1540.0,4.0,3.0,Terrace House,Kaggle
Skudai,788000,1400.0,5.0,4.0,Terrace House,Kaggle
Other,1400000,3000.0,4.0,3.0,Link Bungalow / Semi-Detached,Kaggle
Mount Austin,850000,2320.0,4.0,4.0,Terrace House,Kaggle
Other,576000,1540.0,3.0,2.0,Terrace House,Kaggle
Other,1300000,2240.0,5.0,4.0,Cluster House,Kaggle
Other,670000,1430.0,4.0,4.0,Terrace House,Kaggle
Johor Bahru,788000,1400.0,4.0,4.0,Terrace House,Kaggle
Other,450000,809.0,3.0,2.0,Terrace House,Kaggle
Other,728000,3120.0,4.0,5.0,Condominium,Kaggle
Other,1350000,3200.0,6.0,3.0,Link Bungalow / Semi-Detached,Kaggle
Other,988000,3200.0,4.0,3.0,Link Bungalow / Semi-Detached,Kaggle
Other,800000,1760.0,4.0,3.0,Terrace House,Kaggle
Johor Bahru,638000,3947.0,5.0,3.0,Terrace House,Kaggle
Other,1280000,2560.0,4.0,5.0,Cluster House,Kaggle
Other,300000,1040.0,2.0,2.0,Terrace House,Kaggle
Other,480000,1400.0,3.0,2.0,Terrace House,Kaggle
Other,558000,676.0,1.0,1.0,Condominium,Kaggle
Other,338000,661.0,1.0,1.0,Condominium,Kaggle
Johor Bahru,658000,1170.0,4.0,3.0,Terrace House,Kaggle
Other,698000,1430.0,5.0,3.0,Terrace House,Kaggle
Johor Bahru,700000,1300.0,4.0,3.0,Terrace House,Kaggle
Other,999000,3000.0,5.0,4.0,Terrace House,Kaggle
Johor Bahru,560000,1400.0,3.0,2.0,Terrace House,Kaggle
Permas Jaya,910000,2173.0,4.0,3.0,Terrace House,Kaggle
Other,880000,1760.0,4.0,3.0,Terrace House,Kaggle
Kulai,580000,3200.0,4.0,3.0,Link Bungalow / Semi-Detached,Kaggle
Other,488000,1540.0,4.0,3.0,Terrace House,Kaggle
Other,320000,650.0,2.0,2.0,Condominium,Kaggle
Other,660000,1400.0,4.0,3.0,Terrace House,Kaggle
Other,560000,1200.0,4.0,3.0,Terrace House,Kaggle
Other,898000,2600.0,6.0,3.0,Terrace House,Kaggle
Johor Bahru,790000,1400.0,4.0,3.0,Terrace House,Kaggle
Johor Jaya,635000,1540.0,4.0,3.0,Terrace House,Kaggle
Other,450000,945.0,3.0,2.0,Condominium,Kaggle
Other,625000,1400.0,5.0,4.0,Terrace House,Kaggle
Other,1250000,1760.0,5.0,5.0,Cluster House,Kaggle
Other,680000,1400.0,5.0,4.0,Terrace House,Kaggle
Other,1500000,3150.0,5.0,4.0,Cluster House,Kaggle
Other,680000,1968.0,4.0,3.0,Town House,Kaggle
Other,460000,1540.0,3.0,2.0,Terrace House,Kaggle
Other,550000,1760.0,3.0,2.0,Terrace House,Kaggle
Other,430000,1540.0,4.0,2.0,Terrace House,Kaggle
Other,818000,1870.0,3.0,2.0,Terrace House,Kaggle
Other,668000,1540.0,3.0,2.0,Terrace House,Kaggle
Other,780000,1495.0,3.0,3.0,Condominium,Kaggle
Other,400000,640.0,4.0,1.0,Condominium,Kaggle
Skudai,780000,1170.0,4.0,3.0,Terrace House,Kaggle
Other,480000,1400.0,3.0,2.0,Terrace House,Kaggle
Johor Jaya,528000,1540.0,3.0,2.0,Terrace House,Kaggle
Permas Jaya,625000,1635.0,3.0,3.0,Condominium,Kaggle
Other,560000,1659.0,4.0,3.0,Terrace House,Kaggle
Other,445000,1540.0,3.0,2.0,Terrace House,Kaggle
Other,460000,1540.0,4.0,3.0,Terrace House,Kaggle
Permas Jaya,520000,1635.0,4.0,3.0,Condominium,Kaggle
Johor Bahru,1200000,3337.0,4.0,3.0,Terrace House,Kaggle
Johor Bahru,330000,1028.0,3.0,2.0,Condominium,Kaggle
Other,1080000,1139.0,3.0,2.0,Condominium,Kaggle
Other,428000,1540.0,4.0,3.0,Terrace House,Kaggle
Other,280000,650.0,2.0,1.0,Condominium,Kaggle
Johor Bahru,1650000,3400.0,6.0,5.0,Link Bungalow / Semi-Detached,Kaggle
Other,718000,2100.0,4.0,4.0,Terrace House,Kaggle
Other,410000,1540.0,4.0,3.0,Terrace House,Kaggle
Other,510000,1540.0,3.0,2.0,Terrace House,Kaggle
Other,408000,1700.0,3.0,2.0,Terrace House,Kaggle
Other,850000,1540.0,4.0,3.0,Terrace House,Kaggle
Other,878000,1540.0,5.0,5.0,Cluster House,Kaggle
Other,2300000,5094.0,7.0,7.0,Link Bungalow / Semi-Detached,Kaggle
Other,399000,689.0,1.0,1.0,Condominium,Kaggle
Other,835000,3648.0,6.0,5.0,Link Bungalow / Semi-Detached,Kaggle
Other,1650000,1540.0,8.0,4.0,Bungalow / Detached House,Kaggle
Other,638000,1540.0,4.0,4.0,Terrace House,Kaggle
Other,460000,883.0,3.0,2.0,Condominium,Kaggle
Other,455000,705.0,3.0,1.0,Condominium,Kaggle
Other,388000,1284.0,4.0,3.0,Condominium,Kaggle
Other,380000,799.0,3.0,2.0,Condominium,Kaggle
Other,568000,678.0,2.0,1.0,Condominium,Kaggle
Other,1300000,1540.0,5.0,4.0,Link Bungalow / Semi-Detached,Kaggle
Johor Bahru,438000,941.0,4.0,2.0,Condominium,Kaggle
Other,750000,882.0,2.0,2.0,Condominium,Kaggle
Mount Austin,700000,1244.0,3.0,2.0,Condominium,Kaggle
Bukit Indah,778000,1540.0,3.0,3.0,Terrace House,Kaggle
Mount Austin,738000,1540.0,4.0,3.0,Terrace House,Kaggle
Other,770000,3402.0,5.0,4.0,Link Bungalow / Semi-Detached,Kaggle
Other,299000,1540.0,3.0,2.0,Terrace House,Kaggle
Skudai,539000,1540.0,3.0,2.0,Terrace House,Kaggle
Iskandar Puteri,2880000,4000.0,6.0,4.0,Terrace House,Kaggle
Johor Bahru,645000,850.0,3.0,2.0,Condominium,Kaggle
Other,720000,1801.0,4.0,3.0,Terrace House,Kaggle
Other,654000,2390.0,5.0,5.0,Terrace House,Kaggle
Other,530000,1850.0,5.0,3.0,House (Others),Kaggle
Other,468000,1540.0,5.0,3.0,Terrace House,Kaggle
Johor Bahru,468000,1092.0,3.0,2.0,Condominium,Kaggle
Other,520000,1540.0,3.0,2.0,Terrace House,Kaggle
Other,2500000,3774.0,6.0,6.0,Link Bungalow / Semi-Detached,Kaggle
Other,1450000,3220.0,6.0,5.0,Terrace House,Kaggle
Other,1000000,1217.0,2.0,2.0,Condominium,Kaggle
Other,928000,2260.0,4.0,3.0,Terrace House,Kaggle
Other,650000,1725.0,3.0,3.0,Condominium,Kaggle
Other,950000,3000.0,6.0,4.0,Link Bungalow / Semi-Detached,Kaggle
Other,1188000,4110.0,5.0,4.0,Link Bungalow / Semi-Detached,Kaggle
Johor Bahru,960000,1540.0,4.0,3.0,Terrace House,Kaggle
Johor Bahru,4350000,1540.0,5.0,6.0,Bungalow / Detached House,Kaggle
Bukit Indah,575000,1400.0,4.0,3.0,Terrace House,Kaggle
Kulai,733000,1706.0,4.0,4.0,Link Bungalow / Semi-Detached,Kaggle
Other,827000,2940.0,5.0,4.0,Terrace House,Kaggle
Pasir Gudang,288000,770.0,2.0,1.0,Terrace House,Kaggle
Other,680000,1540.0,3.0,2.0,Terrace House,Kaggle
Johor Bahru,780000,1400.0,4.0,4.0,Terrace House,Kaggle
Other,210000,807.0,3.0,2.0,Condominium,Kaggle
Other,1700000,1540.0,4.0,4.0,Link Bungalow / Semi-Detached,Kaggle
Other,2800000,6000.0,5.0,5.0,Link Bungalow / Semi-Detached,Kaggle
Kulai,445000,1400.0,3.0,2.0,Terrace House,Kaggle
Other,288000,650.0,2.0,2.0,Condominium,Kaggle
Skudai,658000,1540.0,4.0,3.0,Terrace House,Kaggle
Other,1600000,1998.0,5.0,5.0,Condominium,Kaggle
Other,720000,1801.0,4.0,3.0,Terrace House,Kaggle
Other,860000,1400.0,4.0,3.0,Terrace House,Kaggle
Other,695000,1600.0,4.0,4.0,Terrace House,Kaggle
Other,1700000,1540.0,4.0,4.0,Link Bungalow / Semi-Detached,Kaggle
Other,598000,1540.0,4.0,3.0,Terrace House,Kaggle
Other,760000,2618.0,4.0,3.0,Terrace House,Kaggle
Other,600000,936.0,2.0,2.0,Condominium,Kaggle
Permas Jaya,960000,2173.0,3.0,3.0,Terrace House,Kaggle
Other,358000,1540.0,2.0,2.0,Low-Cost House,Kaggle
Bukit Indah,265000,732.0,3.0,2.0,Flat,Kaggle
Johor Bahru,270000,912.0,3.0,2.0,Flat,Kaggle
Other,1700000,3297.0,5.0,7.0,Link Bungalow / Semi-Detached,Kaggle
Other,898000,1760.0,4.0,3.0,Terrace House,Kaggle
Other,699000,1400.0,4.0,3.0,Terrace House,Kaggle
Kulai,788000,2400.0,4.0,3.0,Terrace House,Kaggle
Skudai,750000,1540.0,4.0,3.0,Link Bungalow / Semi-Detached,Kaggle
Other,358000,850.0,3.0,2.0,Condominium,Kaggle
Other,460000,1324.0,3.0,2.0,Terrace House,Kaggle
Other,968000,1650.0,5.0,4.0,Terrace House,Kaggle
Other,1390000,2240.0,6.0,6.0,Cluster House,Kaggle
Other,498000,1400.0,4.0,3.0,Terrace House,Kaggle
Other,2200000,5095.0,7.0,7.0,Link Bungalow / Semi-Detached,Kaggle
Other,638000,1540.0,4.0,2.0,Terrace House,Kaggle
Other,1100000,3754.0,5.0,4.0,Link Bungalow / Semi-Detached,Kaggle
Permas Jaya,338000,950.0,3.0,2.0,Condominium,Kaggle
Other,1900000,3800.0,6.0,6.0,Link Bungalow / Semi-Detached,Kaggle
Other,2800000,2207.0,5.0,5.0,Condominium,Kaggle
Johor Bahru,1880000,1540.0,5.0,5.0,Terrace House,Kaggle
Other,650000,1540.0,4.0,3.0,Terrace House,Kaggle
Johor Bahru,699000,1540.0,4.0,3.0,Terrace House,Kaggle
Other,430000,980.0,3.0,2.0,Condominium,Kaggle
Other,730000,1144.0,4.0,3.0,Terrace House,Kaggle
Kulai,550000,1540.0,5.0,3.0,Terrace House,Kaggle
Other,288000,1540.0,3.0,2.0,Low-Cost House,Kaggle
Other,1200000,2066.0,4.0,4.0,Terrace House,Kaggle
Other,480000,1540.0,4.0,3.0,Terrace House,Kaggle
Other,580000,1540.0,4.0,3.0,Terrace House,Kaggle
Other,370000,770.0,3.0,2.0,Terrace House,Kaggle
Other,438000,2292.0,5.0,3.0,Low-Cost House,Kaggle
Other,1900000,3800.0,6.0,6.0,Link Bungalow / Semi-Detached,Kaggle
Johor Jaya,608000,1540.0,4.0,2.0,Terrace House,Kaggle
Other,698000,1540.0,4.0,3.0,Terrace House,Kaggle
Other,1680000,1540.0,5.0,4.0,Cluster House,Kaggle
Other,288000,1540.0,3.0,2.0,Terrace House,Kaggle
Johor Bahru,760000,1400.0,4.0,3.0,Terrace House,Kaggle
Other,468000,770.0,3.0,2.0,Low-Cost House,Kaggle
Other,768000,1400.0,4.0,3.0,Terrace House,Kaggle
Iskandar Puteri,1450000,3000.0,6.0,4.0,Terrace House,Kaggle
Other,1280000,2600.0,5.0,5.0,Terrace House,Kaggle
Other,2300000,2929.0,6.0,6.0,Link Bungalow / Semi-Detached,Kaggle
Other,490000,852.0,2.0,2.0,Condominium,Kaggle
Skudai,788000,1540.0,5.0,4.0,Terrace House,Kaggle
Other,1350000,1540.0,4.0,4.0,Link Bungalow / Semi-Detached,Kaggle
Other,958000,1540.0,4.0,3.0,Terrace House,Kaggle
Johor Bahru,270000,912.0,3.0,2.0,Flat,Kaggle
Other,528000,1540.0,4.0,3.0,Terrace House,Kaggle
Other,648000,1540.0,4.0,3.0,Terrace House,Kaggle
Other,451000,1540.0,3.0,2.0,Terrace House,Kaggle
Kulai,338000,775.0,3.0,2.0,Low-Cost House,Kaggle
Other,430000,1010.0,2.0,2.0,Condominium,Kaggle
Other,650000,1442.0,3.0,3.0,Town House,Kaggle
Other,1880000,2731.0,4.0,4.0,Terrace House,Kaggle
Other,1130000,1852.0,4.0,3.0,Terrace House,Kaggle
Other,1200000,1852.0,4.0,3.0,Terrace House,Kaggle
Other,1700000,2918.0,4.0,4.0,Terrace House,Kaggle
Iskandar Puteri,950000,1540.0,4.0,3.0,Terrace House,Kaggle
Bukit Indah,838000,1540.0,4.0,3.0,Terrace House,Kaggle
Permas Jaya,228000,880.0,3.0,2.0,Condominium,Kaggle
Other,335000,906.0,3.0,2.0,Condominium,Kaggle
Permas Jaya,228000,880.0,3.0,2.0,Condominium,Kaggle
Taman Molek,500000,1200.0,3.0,2.0,Condominium,Kaggle
Johor Jaya,290000,816.0,2.0,1.0,Low-Cost House,Kaggle
Other,428000,888.0,3.0,2.0,Condominium,Kaggle
Johor Bahru,588000,1540.0,3.0,2.0,Terrace House,Kaggle
Other,468000,1540.0,3.0,2.0,Terrace House,Kaggle
Other,368000,818.0,3.0,2.0,Condominium,Kaggle
Bukit Indah,888000,1540.0,4.0,4.0,Terrace House,Kaggle
Other,470000,1400.0,3.0,2.0,Terrace House,Kaggle
Kulai,515000,1540.0,4.0,3.0,Terrace House,Kaggle
Other,2680000,1540.0,7.0,6.0,Bungalow / Detached House,Kaggle
Other,712000,872.0,2.0,2.0,Condominium,Kaggle
Johor Bahru,880000,2242.0,5.0,4.0,Terrace House,Kaggle
Other,750000,1225.0,3.0,3.0,Condominium,Kaggle
Other,680000,1540.0,3.0,3.0,Town House,Kaggle
Other,410000,1080.0,3.0,2.0,Terrace House,Kaggle
Other,768000,1800.0,4.0,3.0,Terrace House,Kaggle
Bukit Indah,488000,1213.0,3.0,2.0,Condominium,Kaggle
Other,850000,3200.0,4.0,4.0,Link Bungalow / Semi-Detached,Kaggle
Permas Jaya,1179800,2210.0,4.0,4.0,Cluster House,Kaggle
Other,211000,850.0,3.0,2.0,Condominium,Kaggle
Other,1599999,5000.0,6.0,5.0,Bungalow / Detached House,Kaggle
Other,425000,1400.0,3.0,2.0,Terrace House,Kaggle
Other,980000,1540.0,4.0,4.0,Terrace House,Kaggle
Other,698000,1440.0,4.0,3.0,Terrace House,Kaggle
Permas Jaya,388000,770.0,3.0,2.0,Low-Cost House,Kaggle
Johor Jaya,608000,1540.0,3.0,2.0,Terrace House,Kaggle
Other,748000,1920.0,5.0,2.0,Terrace House,Kaggle
Pasir Gudang,318000,770.0,3.0,2.0,Low-Cost House,Kaggle
Other,378000,770.0,3.0,2.0,Low-Cost House,Kaggle
Other,378000,770.0,3.0,2.0,Low-Cost House,Kaggle
Other,980000,2800.0,5.0,4.0,Terrace House,Kaggle
Other,465000,1350.0,5.0,3.0,Terrace House,Kaggle
Other,535000,1400.0,3.0,3.0,Terrace House,Kaggle
Other,486999,1300.0,3.0,3.0,Condominium,Kaggle
Other,333000,810.0,2.0,2.0,Condominium,Kaggle
Other,3780000,1540.0,4.0,3.0,Link Bungalow / Semi-Detached,Kaggle
Other,4800000,1540.0,6.0,6.0,Bungalow / Detached House,Kaggle
Johor Jaya,1930000,4850.0,5.0,3.0,Bungalow / Detached House,Kaggle
Other,589000,882.0,2.0,2.0,Condominium,Kaggle
Johor Bahru,1380000,3200.0,4.0,3.0,Link Bungalow / Semi-Detached,Kaggle
Bukit Indah,828000,1540.0,4.0,3.0,Terrace House,Kaggle
Other,850000,1320.0,3.0,2.0,Condominium,Kaggle
Other,678000,1167.0,2.0,2.0,Condominium,Kaggle
Other,850000,1540.0,4.0,4.0,Terrace House,Kaggle
Mount Austin,708000,1540.0,4.0,3.0,Terrace House,Kaggle
Permas Jaya,595000,1540.0,3.0,2.0,Terrace House,Kaggle
Other,540000,1540.0,3.0,2.0,Terrace House,Kaggle
Johor Bahru,888000,1540.0,4.0,4.0,Terrace House,Kaggle
Mount Austin,730000,1540.0,4.0,4.0,Terrace House,Kaggle
Mount Austin,728000,1540.0,4.0,4.0,Terrace House,Kaggle
Johor Jaya,730000,1540.0,4.0,3.0,Terrace House,Kaggle
Johor Bahru,728000,1540.0,4.0,3.0,Terrace House,Kaggle
Permas Jaya,850000,1540.0,4.0,3.0,Terrace House,Kaggle
Johor Jaya,560000,1540.0,3.0,2.0,Terrace House,Kaggle
Other,650000,1540.0,3.0,2.0,Terrace House,Kaggle
Other,750000,1540.0,4.0,3.0,Terrace House,Kaggle
Other,558000,1540.0,3.0,2.0,Terrace House,Kaggle
Other,580000,1540.0,4.0,2.0,Terrace House,Kaggle
Other,630000,1540.0,4.0,4.0,Terrace House,Kaggle
Other,480000,1540.0,3.0,2.0,Terrace House,Kaggle
Permas Jaya,290000,950.0,3.0,2.0,Condominium,Kaggle
Skudai,480000,1540.0,3.0,2.0,Terrace House,Kaggle
Other,918000,1540.0,5.0,5.0,Cluster House,Kaggle
Other,630000,1540.0,3.0,2.0,Terrace House,Kaggle
Other,620000,1540.0,4.0,3.0,Terrace House,Kaggle
Johor Bahru,888000,1540.0,4.0,4.0,Terrace House,Kaggle
Other,1050000,2700.0,6.0,3.0,Link Bungalow / Semi-Detached,Kaggle
Johor Jaya,1500000,3018.0,5.0,3.0,Link Bungalow / Semi-Detached,Kaggle
Other,610000,904.0,2.0,2.0,Condominium,Kaggle
Johor Bahru,820000,1650.0,4.0,3.0,Terrace House,Kaggle
Mount Austin,1580000,2240.0,5.0,4.0,Cluster House,Kaggle
Johor Bahru,1100000,1540.0,6.0,4.0,Link Bungalow / Semi-Detached,Kaggle
Other,308000,1540.0,3.0,2.0,Terrace House,Kaggle
Other,258000,1540.0,3.0,2.0,Terrace House,Kaggle
Other,268000,1540.0,3.0,2.0,Terrace House,Kaggle
Other,318000,1540.0,3.0,2.0,Terrace House,Kaggle
Bukit Indah,780000,1615.0,4.0,4.0,Condominium,Kaggle
Other,550000,1760.0,3.0,2.0,Terrace House,Kaggle
Johor Bahru,820000,1540.0,4.0,3.0,Terrace House,Kaggle
Other,348000,810.0,2.0,2.0,Condominium,Kaggle
Other,1250000,3200.0,5.0,5.0,Link Bungalow / Semi-Detached,Kaggle
Other,528000,2308.0,4.0,2.0,Low-Cost House,Kaggle
