Area,Price_RM,Size_SQFT,Bedrooms,Bathrooms,Property_Type,Source,Area_clean
Pasir Gudang,445000,1180.0,4.0,3.0,Terrace House,Mudah,Pasir Gudang
Pasir Gudang,450000,1400.0,4.0,3.0,Terrace House,Mudah,Pasir Gudang
Skudai,440000,1300.0,3.0,2.0,Terrace House,Mudah,Skudai
Ulu Tiram,420000,1647.0,3.0,2.0,Terrace House,Mudah,Ulu Tiram
Skudai,510000,1430.0,4.0,3.0,Terrace House,Mudah,Skudai
Skudai,418000,1040.0,2.0,1.0,Terrace House,Mudah,Skudai
Johor Bahru,488000,1540.0,3.0,2.0,Terrace House,Mudah,Johor Bahru
Iskandar Puteri,798000,2100.0,5.0,3.0,Terrace House,Mudah,Iskandar Puteri
Muar,350000,1500.0,3.0,2.0,Terrace House,Mudah,Muar
Johor Bahru,750000,2950.0,5.0,3.0,Terrace House,Mudah,Johor Bahru
Kulai,550000,1540.0,4.0,3.0,Terrace House,Mudah,Kulai
Kulai,268000,770.0,4.0,4.0,Terrace House,Mudah,Kulai
Gelang Patah,980000,3272.0,4.0,4.0,Terrace House,Mudah,Gelang Patah
Johor Bahru,520000,1500.0,3.0,1.0,Terrace House,Mudah,Johor Bahru
Pasir Gudang,540000,1300.0,4.0,3.0,Terrace House,Mudah,Pasir Gudang
Pontian,318000,840.0,3.0,2.0,Terrace House,Mudah,Pontian
Skudai,700000,1920.0,4.0,2.0,Terrace House,Mudah,Skudai
Pasir Gudang,439999,960.0,4.0,3.0,Terrace House,Mudah,Pasir Gudang
Skudai,385000,1080.0,2.0,1.0,Terrace House,Mudah,Skudai
Kluang,367000,1479.0,4.0,2.0,Terrace House,Mudah,Kluang
Johor Bahru,630000,1400.0,4.0,3.0,Terrace House,Mudah,Johor Bahru
Skudai,830000,3200.0,4.0,4.0,Semi-D,Mudah,Skudai
Johor Bahru,1530000,2440.0,4.0,4.0,Residential,Mudah,Johor Bahru
Johor Bahru,2500000,3459.0,5.0,5.0,Semi-D,Mudah,Johor Bahru
Pontian,290000,775.0,3.0,2.0,Terrace House,Mudah,Pontian
Johor Bahru,1180000,1650.0,0.0,0.0,Terrace House,Mudah,Johor Bahru
Johor Bahru,975000,2040.0,5.0,3.0,Terrace House,Mudah,Johor Bahru
Kluang,240000,1430.0,3.0,2.0,Terrace House,Mudah,Kluang
Johor Bahru,858000,1880.0,4.0,4.0,Terrace House,Mudah,Johor Bahru
Johor Bahru,550000,1540.0,4.0,3.0,Terrace House,Mudah,Johor Bahru
Skudai,2050000,3200.0,6.0,7.0,Semi-D,Mudah,Skudai
Ulu Tiram,668000,1920.0,3.0,2.0,Terrace House,Mudah,Ulu Tiram
Ulu Tiram,620000,1540.0,3.0,2.0,Terrace House,Mudah,Ulu Tiram
Skudai,738000,1540.0,4.0,3.0,Terrace House,Mudah,Skudai
Ulu Tiram,688000,1400.0,4.0,4.0,Terrace House,Mudah,Ulu Tiram
Johor Bahru,798000,2163.0,3.0,3.0,Terrace House,Mudah,Johor Bahru
Johor Bahru,1800000,2406.0,4.0,4.0,Residential,Mudah,Johor Bahru
Johor Bahru,1200000,3200.0,5.0,3.0,Semi-D,Mudah,Johor Bahru
Ulu Tiram,398000,770.0,3.0,2.0,Terrace House,Mudah,Ulu Tiram
Kluang,383665,1845.0,4.0,3.0,Terrace House,Mudah,Kluang
Kulai,450000,1540.0,3.0,2.0,Terrace House,Mudah,Kulai
Johor Bahru,690000,1400.0,4.0,3.0,Residential,Mudah,Johor Bahru
Pasir Gudang,530000,1200.0,3.0,2.0,Terrace House,Mudah,Pasir Gudang
Batu Pahat,295000,1540.0,4.0,3.0,Terrace House,Mudah,Batu Pahat
Permas Jaya,398000,700.0,3.0,2.0,Terrace House,Mudah,Permas Jaya
Skudai,658000,1560.0,4.0,3.0,Terrace House,Mudah,Skudai
Skudai,360000,1044.0,2.0,2.0,Terrace House,Mudah,Skudai
Johor Bahru,580000,1540.0,4.0,3.0,Terrace House,Mudah,Johor Bahru
Kulai,435000,1540.0,3.0,2.0,Terrace House,Mudah,Kulai
Gelang Patah,450000,1400.0,3.0,2.0,Terrace House,Mudah,Gelang Patah
Johor Bahru,1280000,1804.0,0.0,0.0,Terrace House,Mudah,Johor Bahru
Iskandar Puteri,950000,2450.0,4.0,3.0,Semi-D,Mudah,Iskandar Puteri
Johor Bahru,768000,1870.0,3.0,2.0,Terrace House,Mudah,Johor Bahru
Johor Bahru,380000,770.0,3.0,2.0,Terrace House,Mudah,Johor Bahru
Gelang Patah,588000,1170.0,4.0,3.0,Terrace House,Mudah,Gelang Patah
Skudai,535000,1540.0,4.0,2.0,Terrace House,Mudah,Skudai
Kulai,578000,1540.0,5.0,3.0,Terrace House,Mudah,Kulai
Skudai,538000,1170.0,4.0,3.0,Terrace House,Mudah,Skudai
Skudai,510000,1300.0,3.0,2.0,Terrace House,Mudah,Skudai
Skudai,1350000,3080.0,5.0,4.0,Residential,Mudah,Skudai
Pasir Gudang,300000,775.0,3.0,2.0,Terrace House,Mudah,Pasir Gudang
Pasir Gudang,419000,1650.0,3.0,2.0,Terrace House,Mudah,Pasir Gudang
Johor Bahru,619000,1170.0,4.0,3.0,Terrace House,Mudah,Johor Bahru
Johor Bahru,490000,1540.0,3.0,3.0,Terrace House,Mudah,Johor Bahru
Kulai,268000,770.0,2.0,2.0,Terrace House,Mudah,Kulai
Skudai,650000,1800.0,4.0,3.0,Terrace House,Mudah,Skudai
Johor Bahru,755000,1431.0,4.0,3.0,Terrace House,Mudah,Johor Bahru
Skudai,175000,613.0,3.0,2.0,Residential,Mudah,Skudai
Johor Bahru,1350000,3060.0,4.0,5.0,Residential,Mudah,Johor Bahru
Iskandar Puteri,1200000,1400.0,4.0,3.0,Terrace House,Mudah,Iskandar Puteri
Johor Bahru,1380000,3541.0,5.0,5.0,Residential,Mudah,Johor Bahru
Skudai,565000,1650.0,4.0,3.0,Terrace House,Mudah,Skudai
Pasir Gudang,460000,1400.0,3.0,3.0,Terrace House,Mudah,Pasir Gudang
Pasir Gudang,387000,1324.0,3.0,2.0,Terrace House,Mudah,Pasir Gudang
Skudai,438000,1300.0,3.0,2.0,Terrace House,Mudah,Skudai
Johor Bahru,735000,1170.0,4.0,3.0,Terrace House,Mudah,Johor Bahru
Iskandar Puteri,1520000,2380.0,4.0,3.0,Residential,Mudah,Iskandar Puteri
Kulai,355000,1194.0,2.0,1.0,Terrace House,Mudah,Kulai
Kulai,440000,1080.0,4.0,3.0,Terrace House,Mudah,Kulai
Gelang Patah,518000,1980.0,4.0,3.0,Terrace House,Mudah,Gelang Patah
Kluang,280000,1798.0,3.0,2.0,Terrace House,Mudah,Kluang
Johor Bahru,750000,1540.0,3.0,2.0,Terrace House,Mudah,Johor Bahru
Iskandar Puteri,798000,1400.0,5.0,3.0,Terrace House,Mudah,Iskandar Puteri
Kluang,438000,3197.0,4.0,2.0,Semi-D,Mudah,Kluang
Johor Bahru,1850000,2400.0,4.0,3.0,Terrace House,Mudah,Johor Bahru
Johor Bahru,599000,1540.0,4.0,2.0,Terrace House,Mudah,Johor Bahru
Johor Bahru,950000,6534.0,4.0,4.0,Bungalow,Mudah,Johor Bahru
Pasir Gudang,468000,1540.0,4.0,2.0,Terrace House,Mudah,Pasir Gudang
Johor Bahru,790000,2819.0,3.0,2.0,Semi-D,Mudah,Johor Bahru
Pasir Gudang,809000,2604.0,4.0,3.0,Terrace House,Mudah,Pasir Gudang
Pasir Gudang,270000,770.0,2.0,1.0,Terrace House,Mudah,Pasir Gudang
Kulai,320000,960.0,3.0,3.0,Terrace House,Mudah,Kulai
Iskandar Puteri,1580000,1950.0,4.0,4.0,Terrace House,Mudah,Iskandar Puteri
Skudai,678000,1540.0,4.0,3.0,Terrace House,Mudah,Skudai
Ulu Tiram,598000,1540.0,3.0,2.0,Terrace House,Mudah,Ulu Tiram
Johor Bahru,880000,1650.0,3.0,3.0,Terrace House,Mudah,Johor Bahru
Johor Bahru,700000,4407.0,3.0,2.0,Semi-D,Mudah,Johor Bahru
Iskandar Puteri,878000,1400.0,4.0,3.0,Terrace House,Mudah,Iskandar Puteri
Kulai,300000,1300.0,3.0,2.0,Terrace House,Mudah,Kulai
Johor Bahru,2380000,5812.0,6.0,6.0,Bungalow,Mudah,Johor Bahru
Johor Bahru,740000,1540.0,4.0,3.0,Terrace House,Mudah,Johor Bahru
Johor Bahru,470000,1500.0,3.0,1.0,Terrace House,Mudah,Johor Bahru
Pasir Gudang,430000,960.0,3.0,3.0,Terrace House,Mudah,Pasir Gudang
Kulai,580000,2700.0,3.0,2.0,Terrace House,Mudah,Kulai
Kulai,290000,3250.0,3.0,2.0,Terrace House,Mudah,Kulai
Pasir Gudang,390000,1400.0,3.0,2.0,Terrace House,Mudah,Pasir Gudang
Pasir Gudang,398000,960.0,4.0,3.0,Terrace House,Mudah,Pasir Gudang
Johor Bahru,708000,1474.0,4.0,3.0,Terrace House,Mudah,Johor Bahru
Johor Bahru,610000,1173.0,4.0,3.0,Terrace House,Mudah,Johor Bahru
Johor Bahru,800000,2164.0,3.0,3.0,Terrace House,Mudah,Johor Bahru
Johor Bahru,373000,775.0,2.0,2.0,Terrace House,Mudah,Johor Bahru
Johor Bahru,788000,1540.0,4.0,4.0,Terrace House,Mudah,Johor Bahru
Muar,395000,3060.0,4.0,2.0,Semi-D,Mudah,Muar
Muar,350000,1400.0,3.0,2.0,Terrace House,Mudah,Muar
Muar,500000,5292.0,3.0,2.0,Semi-D,Mudah,Muar
Muar,448000,3272.0,4.0,2.0,Residential,Mudah,Muar
Johor Bahru,850000,1920.0,4.0,3.0,Terrace House,Mudah,Johor Bahru
Ulu Tiram,418000,1540.0,3.0,2.0,Terrace House,Mudah,Ulu Tiram
Skudai,598000,1540.0,3.0,2.0,Terrace House,Mudah,Skudai
Johor Bahru,575000,1080.0,4.0,3.0,Terrace House,Mudah,Johor Bahru
Johor Bahru,538000,1540.0,3.0,2.0,Terrace House,Mudah,Johor Bahru
Johor Bahru,528000,1860.0,3.0,2.0,Terrace House,Mudah,Johor Bahru
Johor Bahru,850000,1680.0,4.0,4.0,Terrace House,Mudah,Johor Bahru
Muar,400000,2039.0,3.0,2.0,Terrace House,Mudah,Muar
Johor Bahru,850000,1400.0,4.0,3.0,Terrace House,Mudah,Johor Bahru
Kulai,400000,1500.0,3.0,2.0,Terrace House,Mudah,Kulai
Johor Bahru,398000,1000.0,3.0,2.0,Terrace House,Mudah,Johor Bahru
Johor Bahru,948000,1540.0,4.0,4.0,Terrace House,Mudah,Johor Bahru
Johor Bahru,1380000,3200.0,5.0,6.0,Semi-D,Mudah,Johor Bahru
Gelang Patah,550000,1170.0,4.0,3.0,Terrace House,Mudah,Gelang Patah
Skudai,530000,1300.0,4.0,3.0,Terrace House,Mudah,Skudai
Johor Bahru,748000,1760.0,5.0,3.0,Terrace House,Mudah,Johor Bahru
Iskandar Puteri,1480000,1800.0,5.0,5.0,Terrace House,Mudah,Iskandar Puteri
Ulu Tiram,550000,1540.0,4.0,3.0,Terrace House,Mudah,Ulu Tiram
Johor Bahru,858000,1540.0,4.0,3.0,Terrace House,Mudah,Johor Bahru
Kulai,1080000,2940.0,5.0,3.0,Terrace House,Mudah,Kulai
Johor Bahru,1100000,1800.0,4.0,3.0,Terrace House,Mudah,Johor Bahru
Johor Bahru,499000,1540.0,3.0,2.0,Terrace House,Mudah,Johor Bahru
Kulai,320000,961.0,3.0,2.0,Terrace House,Mudah,Kulai
Kulai,1130000,3710.0,4.0,3.0,Terrace House,Mudah,Kulai
